Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Morocco,MAR,2005,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.48119
Morocco,MAR,2000,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.46336
Morocco,MAR,2019,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,0.86255
Morocco,MAR,2015,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,0.71705
Morocco,MAR,2010,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,0.88786
Morocco,MAR,2005,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,0.84997
Morocco,MAR,2000,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,0.8188
Morocco,MAR,2019,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.9
Morocco,MAR,2018,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.7
Morocco,MAR,2017,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.6
Morocco,MAR,2016,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.5
Morocco,MAR,2015,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.5
Morocco,MAR,2014,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.5
Morocco,MAR,2013,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.6
Morocco,MAR,2012,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,29.8
Morocco,MAR,2011,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,30.1
Morocco,MAR,2010,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,30.5
Morocco,MAR,2009,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31
Morocco,MAR,2008,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,31.5
Morocco,MAR,2007,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,32.1
Morocco,MAR,2006,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,32.7
Morocco,MAR,2005,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.2
Morocco,MAR,2004,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.6
Morocco,MAR,2003,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,33.9
Morocco,MAR,2002,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.3
Morocco,MAR,2001,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,34.8
Morocco,MAR,2000,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,35.3
Morocco,MAR,2019,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,30.4
Morocco,MAR,2018,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,30.2
Morocco,MAR,2017,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,30.1
Morocco,MAR,2016,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,30.1
Morocco,MAR,2015,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,30.1
Morocco,MAR,2014,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,30.3
Morocco,MAR,2013,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,30.6
Morocco,MAR,2012,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,30.9
Morocco,MAR,2011,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,31.3
Morocco,MAR,2010,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,31.8
Morocco,MAR,2009,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,32.3
Morocco,MAR,2008,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,32.8
Morocco,MAR,2007,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,33.3
Morocco,MAR,2006,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,33.7
Morocco,MAR,2005,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,34
Morocco,MAR,2004,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,34.2
Morocco,MAR,2003,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,34.5
Morocco,MAR,2002,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,34.7
Morocco,MAR,2001,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,35.3
Morocco,MAR,2000,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,36
Morocco,MAR,2019,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.8
Morocco,MAR,2018,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.6
Morocco,MAR,2017,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.4
Morocco,MAR,2016,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.3
Morocco,MAR,2015,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.3
Morocco,MAR,2014,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.3
Morocco,MAR,2013,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.4
Morocco,MAR,2012,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.6
Morocco,MAR,2011,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,29.9
Morocco,MAR,2010,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.3
Morocco,MAR,2009,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,30.8
Morocco,MAR,2008,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,31.4
Morocco,MAR,2007,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,32
Morocco,MAR,2006,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,32.6
Morocco,MAR,2005,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.1
Morocco,MAR,2004,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.5
Morocco,MAR,2003,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,33.8
Morocco,MAR,2002,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.2
Morocco,MAR,2001,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,34.7
Morocco,MAR,2000,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,35.2
Morocco,MAR,2019,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,8.9061293772705
Morocco,MAR,2015,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,10.7258770970721
Morocco,MAR,2010,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,13.5048736228847
Morocco,MAR,2000,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,21.3166278942202
Morocco,MAR,2021,Number of infant deaths,SH.DTH.IMRT,10054
Morocco,MAR,2020,Number of infant deaths,SH.DTH.IMRT,10597
Morocco,MAR,2019,Number of infant deaths,SH.DTH.IMRT,11204
Morocco,MAR,2018,Number of infant deaths,SH.DTH.IMRT,11871
Morocco,MAR,2017,Number of infant deaths,SH.DTH.IMRT,12494
Morocco,MAR,2016,Number of infant deaths,SH.DTH.IMRT,13287
Morocco,MAR,2015,Number of infant deaths,SH.DTH.IMRT,14247
Morocco,MAR,2014,Number of infant deaths,SH.DTH.IMRT,15164
Morocco,MAR,2013,Number of infant deaths,SH.DTH.IMRT,16100
Morocco,MAR,2012,Number of infant deaths,SH.DTH.IMRT,16957
Morocco,MAR,2011,Number of infant deaths,SH.DTH.IMRT,17740
Morocco,MAR,2010,Number of infant deaths,SH.DTH.IMRT,18485
Morocco,MAR,2009,Number of infant deaths,SH.DTH.IMRT,19229
Morocco,MAR,2008,Number of infant deaths,SH.DTH.IMRT,20015
Morocco,MAR,2007,Number of infant deaths,SH.DTH.IMRT,20959
Morocco,MAR,2006,Number of infant deaths,SH.DTH.IMRT,21905
Morocco,MAR,2005,Number of infant deaths,SH.DTH.IMRT,22890
Morocco,MAR,2004,Number of infant deaths,SH.DTH.IMRT,23908
Morocco,MAR,2003,Number of infant deaths,SH.DTH.IMRT,24955
Morocco,MAR,2002,Number of infant deaths,SH.DTH.IMRT,26000
Morocco,MAR,2001,Number of infant deaths,SH.DTH.IMRT,27179
Morocco,MAR,2000,Number of infant deaths,SH.DTH.IMRT,28444
Morocco,MAR,1999,Number of infant deaths,SH.DTH.IMRT,29956
Morocco,MAR,1998,Number of infant deaths,SH.DTH.IMRT,31618
Morocco,MAR,1997,Number of infant deaths,SH.DTH.IMRT,33057
Morocco,MAR,1996,Number of infant deaths,SH.DTH.IMRT,34499
Morocco,MAR,1995,Number of infant deaths,SH.DTH.IMRT,36160
Morocco,MAR,1994,Number of infant deaths,SH.DTH.IMRT,38064
Morocco,MAR,1993,Number of infant deaths,SH.DTH.IMRT,40275
Morocco,MAR,1992,Number of infant deaths,SH.DTH.IMRT,42492
Morocco,MAR,1991,Number of infant deaths,SH.DTH.IMRT,43952
Morocco,MAR,1990,Number of infant deaths,SH.DTH.IMRT,45295
Morocco,MAR,1989,Number of infant deaths,SH.DTH.IMRT,47568
Morocco,MAR,1988,Number of infant deaths,SH.DTH.IMRT,50567
Morocco,MAR,1987,Number of infant deaths,SH.DTH.IMRT,53814
Morocco,MAR,1986,Number of infant deaths,SH.DTH.IMRT,56903
Morocco,MAR,1985,Number of infant deaths,SH.DTH.IMRT,59838
Morocco,MAR,1984,Number of infant deaths,SH.DTH.IMRT,62992
Morocco,MAR,1983,Number of infant deaths,SH.DTH.IMRT,66126
Morocco,MAR,1982,Number of infant deaths,SH.DTH.IMRT,68532
Morocco,MAR,1981,Number of infant deaths,SH.DTH.IMRT,70079
Morocco,MAR,1980,Number of infant deaths,SH.DTH.IMRT,71291
Morocco,MAR,1979,Number of infant deaths,SH.DTH.IMRT,72650
Morocco,MAR,1978,Number of infant deaths,SH.DTH.IMRT,74381
Morocco,MAR,1977,Number of infant deaths,SH.DTH.IMRT,76224
Morocco,MAR,1976,Number of infant deaths,SH.DTH.IMRT,77925
Morocco,MAR,1975,Number of infant deaths,SH.DTH.IMRT,78996
Morocco,MAR,1974,Number of infant deaths,SH.DTH.IMRT,79741
Morocco,MAR,1973,Number of infant deaths,SH.DTH.IMRT,80434
Morocco,MAR,1972,Number of infant deaths,SH.DTH.IMRT,80579
Morocco,MAR,1971,Number of infant deaths,SH.DTH.IMRT,80432
Morocco,MAR,1970,Number of infant deaths,SH.DTH.IMRT,80230
Morocco,MAR,1969,Number of infant deaths,SH.DTH.IMRT,80425
Morocco,MAR,1968,Number of infant deaths,SH.DTH.IMRT,81176
Morocco,MAR,1967,Number of infant deaths,SH.DTH.IMRT,81927
Morocco,MAR,1966,Number of infant deaths,SH.DTH.IMRT,82515
Morocco,MAR,1965,Number of infant deaths,SH.DTH.IMRT,83035
Morocco,MAR,1964,Number of infant deaths,SH.DTH.IMRT,83636
Morocco,MAR,1963,Number of infant deaths,SH.DTH.IMRT,84577
Morocco,MAR,1962,Number of infant deaths,SH.DTH.IMRT,85086
Morocco,MAR,1961,Number of infant deaths,SH.DTH.IMRT,84898
Morocco,MAR,1960,Number of infant deaths,SH.DTH.IMRT,84746
Morocco,MAR,2019,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,6.9035818970584
Morocco,MAR,2015,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.84202640636561
Morocco,MAR,2010,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,9.43287279003504
Morocco,MAR,2000,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,10.9651808314416
Morocco,MAR,2021,Number of under-five deaths,SH.DTH.MORT,11788
Morocco,MAR,2020,Number of under-five deaths,SH.DTH.MORT,12423
Morocco,MAR,2019,Number of under-five deaths,SH.DTH.MORT,13127
Morocco,MAR,2018,Number of under-five deaths,SH.DTH.MORT,13898
Morocco,MAR,2017,Number of under-five deaths,SH.DTH.MORT,14631
Morocco,MAR,2016,Number of under-five deaths,SH.DTH.MORT,15538
Morocco,MAR,2015,Number of under-five deaths,SH.DTH.MORT,16614
Morocco,MAR,2014,Number of under-five deaths,SH.DTH.MORT,17642
Morocco,MAR,2013,Number of under-five deaths,SH.DTH.MORT,18686
Morocco,MAR,2012,Number of under-five deaths,SH.DTH.MORT,19646
Morocco,MAR,2011,Number of under-five deaths,SH.DTH.MORT,20536
Morocco,MAR,2010,Number of under-five deaths,SH.DTH.MORT,21401
Morocco,MAR,2009,Number of under-five deaths,SH.DTH.MORT,22295
Morocco,MAR,2008,Number of under-five deaths,SH.DTH.MORT,23254
Morocco,MAR,2007,Number of under-five deaths,SH.DTH.MORT,24400
Morocco,MAR,2006,Number of under-five deaths,SH.DTH.MORT,25566
Morocco,MAR,2005,Number of under-five deaths,SH.DTH.MORT,26793
Morocco,MAR,2004,Number of under-five deaths,SH.DTH.MORT,28101
Morocco,MAR,2003,Number of under-five deaths,SH.DTH.MORT,29460
Morocco,MAR,2002,Number of under-five deaths,SH.DTH.MORT,30850
Morocco,MAR,2001,Number of under-five deaths,SH.DTH.MORT,32386
Morocco,MAR,2000,Number of under-five deaths,SH.DTH.MORT,34068
Morocco,MAR,1999,Number of under-five deaths,SH.DTH.MORT,36026
Morocco,MAR,1998,Number of under-five deaths,SH.DTH.MORT,38183
Morocco,MAR,1997,Number of under-five deaths,SH.DTH.MORT,40191
Morocco,MAR,1996,Number of under-five deaths,SH.DTH.MORT,42289
Morocco,MAR,1995,Number of under-five deaths,SH.DTH.MORT,44639
Morocco,MAR,1994,Number of under-five deaths,SH.DTH.MORT,47267
Morocco,MAR,1993,Number of under-five deaths,SH.DTH.MORT,50242
Morocco,MAR,1992,Number of under-five deaths,SH.DTH.MORT,53305
Morocco,MAR,1991,Number of under-five deaths,SH.DTH.MORT,55732
Morocco,MAR,1990,Number of under-five deaths,SH.DTH.MORT,58210
Morocco,MAR,1989,Number of under-five deaths,SH.DTH.MORT,61725
Morocco,MAR,1988,Number of under-five deaths,SH.DTH.MORT,66081
Morocco,MAR,1987,Number of under-five deaths,SH.DTH.MORT,70810
Morocco,MAR,1986,Number of under-five deaths,SH.DTH.MORT,75489
Morocco,MAR,1985,Number of under-five deaths,SH.DTH.MORT,80073
Morocco,MAR,1984,Number of under-five deaths,SH.DTH.MORT,84887
Morocco,MAR,1983,Number of under-five deaths,SH.DTH.MORT,89728
Morocco,MAR,1982,Number of under-five deaths,SH.DTH.MORT,93951
Morocco,MAR,1981,Number of under-five deaths,SH.DTH.MORT,97498
Morocco,MAR,1980,Number of under-five deaths,SH.DTH.MORT,100852
Morocco,MAR,1979,Number of under-five deaths,SH.DTH.MORT,104454
Morocco,MAR,1978,Number of under-five deaths,SH.DTH.MORT,108481
Morocco,MAR,1977,Number of under-five deaths,SH.DTH.MORT,112525
Morocco,MAR,1976,Number of under-five deaths,SH.DTH.MORT,116148
Morocco,MAR,1975,Number of under-five deaths,SH.DTH.MORT,118858
Morocco,MAR,1974,Number of under-five deaths,SH.DTH.MORT,120871
Morocco,MAR,1973,Number of under-five deaths,SH.DTH.MORT,122481
Morocco,MAR,1972,Number of under-five deaths,SH.DTH.MORT,123384
Morocco,MAR,1971,Number of under-five deaths,SH.DTH.MORT,124017
Morocco,MAR,1970,Number of under-five deaths,SH.DTH.MORT,124683
Morocco,MAR,1969,Number of under-five deaths,SH.DTH.MORT,125866
Morocco,MAR,1968,Number of under-five deaths,SH.DTH.MORT,127684
Morocco,MAR,1967,Number of under-five deaths,SH.DTH.MORT,129649
Morocco,MAR,1966,Number of under-five deaths,SH.DTH.MORT,131578
Morocco,MAR,1965,Number of under-five deaths,SH.DTH.MORT,133312
Morocco,MAR,1964,Number of under-five deaths,SH.DTH.MORT,135016
Morocco,MAR,1963,Number of under-five deaths,SH.DTH.MORT,136785
Morocco,MAR,1962,Number of under-five deaths,SH.DTH.MORT,137923
Morocco,MAR,1961,Number of under-five deaths,SH.DTH.MORT,138165
Morocco,MAR,2019,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,84.1902894663775
Morocco,MAR,2015,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,81.4320974162168
Morocco,MAR,2010,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,77.0622552195819
Morocco,MAR,2000,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,67.7181925489051
Morocco,MAR,2021,Number of neonatal deaths,SH.DTH.NMRT,7239
Morocco,MAR,2020,Number of neonatal deaths,SH.DTH.NMRT,7584
Morocco,MAR,2019,Number of neonatal deaths,SH.DTH.NMRT,8035
Morocco,MAR,2018,Number of neonatal deaths,SH.DTH.NMRT,8510
Morocco,MAR,2017,Number of neonatal deaths,SH.DTH.NMRT,9037
Morocco,MAR,2016,Number of neonatal deaths,SH.DTH.NMRT,9478
Morocco,MAR,2015,Number of neonatal deaths,SH.DTH.NMRT,10296
Morocco,MAR,2014,Number of neonatal deaths,SH.DTH.NMRT,10911
Morocco,MAR,2013,Number of neonatal deaths,SH.DTH.NMRT,11683
Morocco,MAR,2012,Number of neonatal deaths,SH.DTH.NMRT,12300
Morocco,MAR,2011,Number of neonatal deaths,SH.DTH.NMRT,12970
Morocco,MAR,2010,Number of neonatal deaths,SH.DTH.NMRT,13465
Morocco,MAR,2009,Number of neonatal deaths,SH.DTH.NMRT,14052
Morocco,MAR,2008,Number of neonatal deaths,SH.DTH.NMRT,14544
Morocco,MAR,2007,Number of neonatal deaths,SH.DTH.NMRT,15136
Morocco,MAR,2006,Number of neonatal deaths,SH.DTH.NMRT,15614
Morocco,MAR,2005,Number of neonatal deaths,SH.DTH.NMRT,16003
Morocco,MAR,2004,Number of neonatal deaths,SH.DTH.NMRT,16465
Morocco,MAR,2003,Number of neonatal deaths,SH.DTH.NMRT,16935
Morocco,MAR,2002,Number of neonatal deaths,SH.DTH.NMRT,17373
Morocco,MAR,2001,Number of neonatal deaths,SH.DTH.NMRT,17824
Morocco,MAR,2000,Number of neonatal deaths,SH.DTH.NMRT,18470
Morocco,MAR,1999,Number of neonatal deaths,SH.DTH.NMRT,19080
Morocco,MAR,1998,Number of neonatal deaths,SH.DTH.NMRT,20058
Morocco,MAR,1997,Number of neonatal deaths,SH.DTH.NMRT,20841
Morocco,MAR,1996,Number of neonatal deaths,SH.DTH.NMRT,21515
Morocco,MAR,1995,Number of neonatal deaths,SH.DTH.NMRT,22248
Morocco,MAR,1994,Number of neonatal deaths,SH.DTH.NMRT,23139
Morocco,MAR,1993,Number of neonatal deaths,SH.DTH.NMRT,24092
Morocco,MAR,1992,Number of neonatal deaths,SH.DTH.NMRT,25322
Morocco,MAR,1991,Number of neonatal deaths,SH.DTH.NMRT,26152
Morocco,MAR,1990,Number of neonatal deaths,SH.DTH.NMRT,26456
Morocco,MAR,1989,Number of neonatal deaths,SH.DTH.NMRT,27219
Morocco,MAR,1988,Number of neonatal deaths,SH.DTH.NMRT,28598
Morocco,MAR,1987,Number of neonatal deaths,SH.DTH.NMRT,30114
Morocco,MAR,1986,Number of neonatal deaths,SH.DTH.NMRT,31651
Morocco,MAR,1985,Number of neonatal deaths,SH.DTH.NMRT,32864
Morocco,MAR,1984,Number of neonatal deaths,SH.DTH.NMRT,34170
Morocco,MAR,1983,Number of neonatal deaths,SH.DTH.NMRT,35538
Morocco,MAR,1982,Number of neonatal deaths,SH.DTH.NMRT,36701
Morocco,MAR,1981,Number of neonatal deaths,SH.DTH.NMRT,37195
Morocco,MAR,1980,Number of neonatal deaths,SH.DTH.NMRT,37382
Morocco,MAR,1979,Number of neonatal deaths,SH.DTH.NMRT,37481
Morocco,MAR,1978,Number of neonatal deaths,SH.DTH.NMRT,37766
Morocco,MAR,1977,Number of neonatal deaths,SH.DTH.NMRT,38119
Morocco,MAR,1976,Number of neonatal deaths,SH.DTH.NMRT,38460
Morocco,MAR,1975,Number of neonatal deaths,SH.DTH.NMRT,38715
Morocco,MAR,1974,Number of neonatal deaths,SH.DTH.NMRT,38610
Morocco,MAR,1973,Number of neonatal deaths,SH.DTH.NMRT,38800
Morocco,MAR,1972,Number of neonatal deaths,SH.DTH.NMRT,38858
Morocco,MAR,1971,Number of neonatal deaths,SH.DTH.NMRT,38693
Morocco,MAR,1970,Number of neonatal deaths,SH.DTH.NMRT,38572
Morocco,MAR,1969,Number of neonatal deaths,SH.DTH.NMRT,38430
Morocco,MAR,1968,Number of neonatal deaths,SH.DTH.NMRT,38791
Morocco,MAR,1967,Number of neonatal deaths,SH.DTH.NMRT,39298
Morocco,MAR,1966,Number of neonatal deaths,SH.DTH.NMRT,39589
Morocco,MAR,1965,Number of neonatal deaths,SH.DTH.NMRT,39810
Morocco,MAR,1964,Number of neonatal deaths,SH.DTH.NMRT,40020
Morocco,MAR,1963,Number of neonatal deaths,SH.DTH.NMRT,40226
Morocco,MAR,1962,Number of neonatal deaths,SH.DTH.NMRT,40799
Morocco,MAR,1961,Number of neonatal deaths,SH.DTH.NMRT,40460
Morocco,MAR,1960,Number of neonatal deaths,SH.DTH.NMRT,40384
Morocco,MAR,2021,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,48.9
Morocco,MAR,2020,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,48.9
Morocco,MAR,2019,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,48.8
Morocco,MAR,2018,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,48.7
Morocco,MAR,2017,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,48.5
Morocco,MAR,2016,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,48.2
Morocco,MAR,2015,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47.9
Morocco,MAR,2014,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47.7
Morocco,MAR,2013,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47.6
Morocco,MAR,2012,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47.5
Morocco,MAR,2011,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47.5
Morocco,MAR,2010,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47.5
Morocco,MAR,2009,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47.5
Morocco,MAR,2008,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47.4
Morocco,MAR,2007,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47.4
Morocco,MAR,2006,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47.3
Morocco,MAR,2005,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47.2
Morocco,MAR,2004,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47.1
Morocco,MAR,2003,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,47
Morocco,MAR,2002,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,46.9
Morocco,MAR,2001,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,46.8
Morocco,MAR,2000,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,46.6
Morocco,MAR,1999,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,46.5
Morocco,MAR,1998,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,46.4
Morocco,MAR,1997,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,46.3
